2026-02-10 08:13:24,566 | INFO | Episode 480/5000 | Avg Reward: 46.64 | Avg Length: 205.20 | Avg Loss: 6.5140
2026-02-10 08:13:45,532 | INFO | Episode 490/5000 | Avg Reward: -15.00 | Avg Length: 281.40 | Avg Loss: 6.1456
2026-02-10 08:14:00,707 | INFO | Episode 500/5000 | Avg Reward: 28.38 | Avg Length: 204.00 | Avg Loss: 1.5252
2026-02-10 08:14:21,906 | INFO | Episode 510/5000 | Avg Reward: -9.61 | Avg Length: 281.90 | Avg Loss: 5.9869
2026-02-10 08:14:48,042 | INFO | Episode 520/5000 | Avg Reward: -39.56 | Avg Length: 353.60 | Avg Loss: 10.0601
2026-02-10 08:15:13,959 | INFO | Episode 530/5000 | Avg Reward: -49.84 | Avg Length: 354.40 | Avg Loss: 14.2741
2026-02-10 08:15:35,033 | INFO | Episode 540/5000 | Avg Reward: -1.39 | Avg Length: 283.40 | Avg Loss: 2.2174
2026-02-10 08:15:50,410 | INFO | Episode 550/5000 | Avg Reward: 25.73 | Avg Length: 206.90 | Avg Loss: 0.8171
2026-02-10 08:16:05,442 | INFO | Episode 560/5000 | Avg Reward: 33.46 | Avg Length: 202.90 | Avg Loss: 2.2323
2026-02-10 08:16:25,890 | INFO | Episode 570/5000 | Avg Reward: -17.96 | Avg Length: 279.30 | Avg Loss: 8.3348
2026-02-10 08:16:41,313 | INFO | Episode 580/5000 | Avg Reward: 24.09 | Avg Length: 204.50 | Avg Loss: 0.5931
2026-02-10 08:16:56,674 | INFO | Episode 590/5000 | Avg Reward: 36.87 | Avg Length: 206.70 | Avg Loss: 4.4650
2026-02-10 08:17:11,999 | INFO | Episode 600/5000 | Avg Reward: 26.48 | Avg Length: 204.10 | Avg Loss: 0.7099
2026-02-10 08:17:27,373 | INFO | Episode 610/5000 | Avg Reward: 26.90 | Avg Length: 204.40 | Avg Loss: 0.8140
2026-02-10 08:17:42,644 | INFO | Episode 620/5000 | Avg Reward: 28.51 | Avg Length: 203.40 | Avg Loss: 0.8107
2026-02-10 08:17:58,135 | INFO | Episode 630/5000 | Avg Reward: 41.40 | Avg Length: 208.20 | Avg Loss: 3.5066
2026-02-10 08:18:18,412 | INFO | Episode 640/5000 | Avg Reward: -11.16 | Avg Length: 273.00 | Avg Loss: 9.0217
2026-02-10 08:18:33,458 | INFO | Episode 650/5000 | Avg Reward: 29.64 | Avg Length: 202.10 | Avg Loss: 0.9228
2026-02-10 08:18:48,962 | INFO | Episode 660/5000 | Avg Reward: 27.75 | Avg Length: 205.20 | Avg Loss: 0.8627
2026-02-10 08:19:04,321 | INFO | Episode 670/5000 | Avg Reward: 26.44 | Avg Length: 206.80 | Avg Loss: 1.0191
2026-02-10 08:19:25,242 | INFO | Episode 680/5000 | Avg Reward: -10.10 | Avg Length: 283.80 | Avg Loss: 8.1840
2026-02-10 08:19:40,574 | INFO | Episode 690/5000 | Avg Reward: 26.75 | Avg Length: 203.30 | Avg Loss: 0.3133
2026-02-10 08:20:00,891 | INFO | Episode 700/5000 | Avg Reward: -19.08 | Avg Length: 275.60 | Avg Loss: 7.7637
2026-02-10 08:20:21,258 | INFO | Episode 710/5000 | Avg Reward: -10.44 | Avg Length: 277.70 | Avg Loss: 9.1509
2026-02-10 08:20:42,077 | INFO | Episode 720/5000 | Avg Reward: -20.38 | Avg Length: 282.40 | Avg Loss: 8.2140
2026-02-10 08:20:57,413 | INFO | Episode 730/5000 | Avg Reward: 32.32 | Avg Length: 204.40 | Avg Loss: 1.3654
2026-02-10 08:21:12,848 | INFO | Episode 740/5000 | Avg Reward: 30.47 | Avg Length: 204.50 | Avg Loss: 1.6427
2026-02-10 08:21:38,733 | INFO | Episode 750/5000 | Avg Reward: -64.11 | Avg Length: 352.60 | Avg Loss: 15.6992
2026-02-10 08:21:54,160 | INFO | Episode 760/5000 | Avg Reward: 22.68 | Avg Length: 208.00 | Avg Loss: 1.0170
2026-02-10 08:22:19,368 | INFO | Episode 770/5000 | Avg Reward: -54.65 | Avg Length: 345.60 | Avg Loss: 16.8291
2026-02-10 08:22:39,692 | INFO | Episode 780/5000 | Avg Reward: -9.98 | Avg Length: 274.40 | Avg Loss: 9.7108
2026-02-10 08:23:00,506 | INFO | Episode 790/5000 | Avg Reward: -9.58 | Avg Length: 280.70 | Avg Loss: 6.0059
2026-02-10 08:23:20,885 | INFO | Episode 800/5000 | Avg Reward: -9.64 | Avg Length: 275.50 | Avg Loss: 10.3930
2026-02-10 08:23:36,312 | INFO | Episode 810/5000 | Avg Reward: 25.05 | Avg Length: 204.00 | Avg Loss: 0.5237
2026-02-10 08:23:51,958 | INFO | Episode 820/5000 | Avg Reward: 29.71 | Avg Length: 209.00 | Avg Loss: 4.0546
2026-02-10 08:24:07,380 | INFO | Episode 830/5000 | Avg Reward: 21.52 | Avg Length: 206.50 | Avg Loss: 0.7793
2026-02-10 08:24:28,588 | INFO | Episode 840/5000 | Avg Reward: -8.57 | Avg Length: 281.30 | Avg Loss: 7.9386
2026-02-10 08:24:49,572 | INFO | Episode 850/5000 | Avg Reward: -11.77 | Avg Length: 281.40 | Avg Loss: 10.2072
2026-02-10 08:25:04,793 | INFO | Episode 860/5000 | Avg Reward: 26.43 | Avg Length: 203.70 | Avg Loss: 0.4558
2026-02-10 08:25:19,958 | INFO | Episode 870/5000 | Avg Reward: 36.54 | Avg Length: 203.30 | Avg Loss: 3.2502
2026-02-10 08:25:35,285 | INFO | Episode 880/5000 | Avg Reward: 38.20 | Avg Length: 205.90 | Avg Loss: 2.9679
2026-02-10 08:25:50,706 | INFO | Episode 890/5000 | Avg Reward: 36.86 | Avg Length: 204.60 | Avg Loss: 1.7943
2026-02-10 08:26:06,012 | INFO | Episode 900/5000 | Avg Reward: 32.22 | Avg Length: 205.30 | Avg Loss: 2.5345
2026-02-10 08:26:21,378 | INFO | Episode 910/5000 | Avg Reward: 26.44 | Avg Length: 202.00 | Avg Loss: 0.6564
2026-02-10 08:26:42,136 | INFO | Episode 920/5000 | Avg Reward: -14.02 | Avg Length: 282.30 | Avg Loss: 11.3140
2026-02-10 08:26:57,518 | INFO | Episode 930/5000 | Avg Reward: 25.79 | Avg Length: 204.30 | Avg Loss: 0.5526
2026-02-10 08:27:12,774 | INFO | Episode 940/5000 | Avg Reward: 32.96 | Avg Length: 203.20 | Avg Loss: 1.2497
2026-02-10 08:27:27,867 | INFO | Episode 950/5000 | Avg Reward: 27.39 | Avg Length: 203.10 | Avg Loss: 1.6757
2026-02-10 08:27:43,221 | INFO | Episode 960/5000 | Avg Reward: 27.80 | Avg Length: 203.20 | Avg Loss: 0.6910
2026-02-10 08:28:04,323 | INFO | Episode 970/5000 | Avg Reward: 1.60 | Avg Length: 285.10 | Avg Loss: 3.9593
2026-02-10 08:28:19,772 | INFO | Episode 980/5000 | Avg Reward: 27.12 | Avg Length: 204.50 | Avg Loss: 0.9250
2026-02-10 08:28:34,894 | INFO | Episode 990/5000 | Avg Reward: 27.36 | Avg Length: 203.60 | Avg Loss: 0.7869
2026-02-10 08:28:50,075 | INFO | Episode 1000/5000 | Avg Reward: 35.19 | Avg Length: 202.40 | Avg Loss: 1.9112
2026-02-10 08:29:05,409 | INFO | Episode 1010/5000 | Avg Reward: 24.16 | Avg Length: 205.20 | Avg Loss: 0.5052
2026-02-10 08:29:20,628 | INFO | Episode 1020/5000 | Avg Reward: 30.13 | Avg Length: 204.60 | Avg Loss: 0.9007
2026-02-10 08:29:35,878 | INFO | Episode 1030/5000 | Avg Reward: 32.94 | Avg Length: 204.00 | Avg Loss: 1.2952
2026-02-10 08:29:56,331 | INFO | Episode 1040/5000 | Avg Reward: -7.66 | Avg Length: 277.30 | Avg Loss: 8.1843
2026-02-10 08:30:11,813 | INFO | Episode 1050/5000 | Avg Reward: 36.82 | Avg Length: 204.00 | Avg Loss: 3.9101
2026-02-10 08:30:27,313 | INFO | Episode 1060/5000 | Avg Reward: 28.17 | Avg Length: 205.80 | Avg Loss: 1.1945
2026-02-10 08:30:42,562 | INFO | Episode 1070/5000 | Avg Reward: 42.05 | Avg Length: 204.20 | Avg Loss: 3.0042
2026-02-10 08:30:57,665 | INFO | Episode 1080/5000 | Avg Reward: 34.86 | Avg Length: 202.60 | Avg Loss: 1.9632
2026-02-10 08:31:12,911 | INFO | Episode 1090/5000 | Avg Reward: 22.93 | Avg Length: 205.30 | Avg Loss: 0.9465
2026-02-10 08:31:32,954 | INFO | Episode 1100/5000 | Avg Reward: -2.42 | Avg Length: 273.30 | Avg Loss: 12.8119
2026-02-10 08:31:48,329 | INFO | Episode 1110/5000 | Avg Reward: 28.75 | Avg Length: 204.40 | Avg Loss: 0.9889
2026-02-10 08:32:03,821 | INFO | Episode 1120/5000 | Avg Reward: 30.21 | Avg Length: 205.80 | Avg Loss: 1.4014
2026-02-10 08:32:19,197 | INFO | Episode 1130/5000 | Avg Reward: 31.89 | Avg Length: 203.30 | Avg Loss: 0.7183
2026-02-10 08:32:34,326 | INFO | Episode 1140/5000 | Avg Reward: 21.31 | Avg Length: 203.90 | Avg Loss: 0.5452
2026-02-10 08:33:00,020 | INFO | Episode 1150/5000 | Avg Reward: -63.21 | Avg Length: 352.70 | Avg Loss: 16.8821
2026-02-10 08:33:20,437 | INFO | Episode 1160/5000 | Avg Reward: -18.67 | Avg Length: 276.00 | Avg Loss: 9.5884
