2026-03-09 13:35:28,430 | INFO | Episode 160/8000 | Avg Reward: 40.24 | Avg Length: 466.70 | Avg Loss: 133.6375 | Avg Found Sources: 2.10 | Avg Found Ratio: 51.26% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.23, failure_done=-0.01
2026-03-09 13:36:36,786 | INFO | Episode 170/8000 | Avg Reward: 17.43 | Avg Length: 576.20 | Avg Loss: 86.9883 | Avg Found Sources: 2.90 | Avg Found Ratio: 59.70% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.15, failure_done=-0.01
2026-03-09 13:37:50,046 | INFO | Episode 180/8000 | Avg Reward: 19.10 | Avg Length: 614.70 | Avg Loss: 2.9492 | Avg Found Sources: 2.20 | Avg Found Ratio: 38.45% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.05, found=0.02, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 13:38:55,019 | INFO | Episode 190/8000 | Avg Reward: 8.30 | Avg Length: 547.60 | Avg Loss: 63.2917 | Avg Found Sources: 1.50 | Avg Found Ratio: 38.50% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.11, failure_done=-0.01
2026-03-09 13:40:00,711 | INFO | Episode 200/8000 | Avg Reward: 5.46 | Avg Length: 550.60 | Avg Loss: 215.0879 | Avg Found Sources: 3.10 | Avg Found Ratio: 63.62% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.07, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.34, failure_done=-0.01
2026-03-09 13:41:12,585 | INFO | Episode 210/8000 | Avg Reward: -1.64 | Avg Length: 600.80 | Avg Loss: 7.6766 | Avg Found Sources: 3.50 | Avg Found Ratio: 58.83% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 13:42:26,175 | INFO | Episode 220/8000 | Avg Reward: -9.67 | Avg Length: 609.90 | Avg Loss: 6.7594 | Avg Found Sources: 2.60 | Avg Found Ratio: 50.08% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 13:43:39,488 | INFO | Episode 230/8000 | Avg Reward: -7.46 | Avg Length: 565.60 | Avg Loss: 3.8760 | Avg Found Sources: 1.50 | Avg Found Ratio: 30.35% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 13:44:52,918 | INFO | Episode 240/8000 | Avg Reward: 0.83 | Avg Length: 576.40 | Avg Loss: 8.3237 | Avg Found Sources: 2.70 | Avg Found Ratio: 43.69% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 13:46:03,551 | INFO | Episode 250/8000 | Avg Reward: 13.05 | Avg Length: 553.50 | Avg Loss: 91.6655 | Avg Found Sources: 2.90 | Avg Found Ratio: 52.38% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.14, failure_done=-0.01
2026-03-09 13:46:59,765 | INFO | Episode 260/8000 | Avg Reward: -5.12 | Avg Length: 455.40 | Avg Loss: 647.4628 | Avg Found Sources: 1.20 | Avg Found Ratio: 29.00% | Success Rate: 10.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.14, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=3.00, failure_done=-0.01
2026-03-09 13:47:58,152 | INFO | Episode 270/8000 | Avg Reward: -18.74 | Avg Length: 454.00 | Avg Loss: 9.4596 | Avg Found Sources: 1.30 | Avg Found Ratio: 29.83% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 13:48:57,133 | INFO | Episode 280/8000 | Avg Reward: -17.88 | Avg Length: 444.20 | Avg Loss: 7.9413 | Avg Found Sources: 1.30 | Avg Found Ratio: 21.14% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 13:50:10,657 | INFO | Episode 290/8000 | Avg Reward: 1.89 | Avg Length: 439.50 | Avg Loss: 1.6744 | Avg Found Sources: 1.20 | Avg Found Ratio: 27.19% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 13:51:21,168 | INFO | Episode 300/8000 | Avg Reward: -8.69 | Avg Length: 438.80 | Avg Loss: 5.5357 | Avg Found Sources: 1.10 | Avg Found Ratio: 18.93% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 13:52:29,504 | INFO | Episode 310/8000 | Avg Reward: 6.29 | Avg Length: 438.50 | Avg Loss: 6.7791 | Avg Found Sources: 1.20 | Avg Found Ratio: 22.01% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.06, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 13:53:37,094 | INFO | Episode 320/8000 | Avg Reward: -11.72 | Avg Length: 433.10 | Avg Loss: 6.0967 | Avg Found Sources: 0.70 | Avg Found Ratio: 15.19% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 13:54:43,899 | INFO | Episode 330/8000 | Avg Reward: -3.28 | Avg Length: 432.30 | Avg Loss: 4.3719 | Avg Found Sources: 0.90 | Avg Found Ratio: 20.54% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
