episode,avg_reward
10,11.882721
20,13.289020
30,19.084793
40,23.658895
50,21.629183
60,20.072068
70,-25.185162
80,23.670537
90,29.758972
100,20.073018
110,-56.240190
120,27.390156
130,15.730389
140,-33.258593
150,20.209197
160,17.015459
170,21.821601
180,21.859378
190,26.054588
200,28.114740
210,16.384612
220,14.345062
230,21.935058
240,14.032198
250,6.163449
260,21.948144
270,3.098584
280,21.124954
290,16.054738
300,25.232248
310,23.135951
320,22.358586
330,26.485215
340,19.348907
350,33.832104
360,14.964764
370,17.768555
380,4.848608
390,16.678506
400,20.895313
410,21.266958
420,24.442827
430,32.971642
440,28.124829
450,17.739511
460,27.145126
470,30.206088
480,24.629397
490,-36.569574
500,19.048957
510,22.670968
520,-24.356759
530,23.756317
540,22.199704
550,21.744212
560,24.340604
570,-15.424378
580,23.100116
590,9.962837
600,19.736608
610,19.625421
620,25.847876
630,18.196987
640,-19.983631
650,9.440549
660,24.541138
670,21.548411
680,16.798302
690,28.185084
700,21.433260
710,26.326766
720,27.128378
730,26.356204
740,30.422577
750,-3.394358
760,22.605500
770,27.908176
780,24.574950
790,23.651719
800,28.906596
810,25.309514
820,25.756287
830,23.250708
840,-16.041541
850,26.539528
860,24.489694
870,31.314405
880,22.323085
890,-17.495431
900,25.536093
910,16.194020
920,24.338247
930,35.048280
940,-18.255419
950,21.220887
960,30.648705
970,26.318651
980,22.516421
990,25.035281
1000,34.668600
1010,29.426855
1020,-20.541196
1030,-2.837519
1040,21.530529
1050,21.835679
1060,23.343805
1070,22.824235
1080,-6.345869
1090,-12.007857
1100,31.922320
1110,25.266235
1120,-21.501838
1130,-23.096719
1140,30.466612
1150,27.855712
1160,22.509835
1170,-10.210609
1180,31.591317
1190,27.985223
1200,24.934390
1210,34.201367
1220,28.659808
1230,33.128885
1240,32.270524
1250,28.683884
1260,27.549411
1270,26.238159
1280,29.120539
1290,24.664590
1300,27.631425
1310,25.237902
1320,5.825516
1330,22.649396
1340,30.674869
1350,-19.629262
1360,25.282220
1370,29.698118
1380,-15.532466
1390,-67.424851
1400,-18.982394
1410,26.300778
1420,-18.464245
1430,26.109099
1440,22.619755
1450,34.286632
1460,24.167741
1470,20.707679
1480,25.902096
1490,27.613691
