2026-03-01 13:30:08,622 | INFO | Episode 180/8000 | Avg Reward: 85.49 | Avg Length: 493.00 | Avg Loss: 108.9082 | Avg Found Sources: 3.30 | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.08, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.43, failure_done=-0.00
2026-03-01 13:30:49,155 | INFO | Episode 190/8000 | Avg Reward: 67.53 | Avg Length: 547.70 | Avg Loss: 33.5221 | Avg Found Sources: 3.30 | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.13, failure_done=-0.00
2026-03-01 13:31:21,651 | INFO | Episode 200/8000 | Avg Reward: 99.32 | Avg Length: 434.70 | Avg Loss: 72.8968 | Avg Found Sources: 3.60 | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.30, failure_done=-0.00
2026-03-01 13:31:50,191 | INFO | Episode 210/8000 | Avg Reward: 112.69 | Avg Length: 378.10 | Avg Loss: 97.6208 | Avg Found Sources: 3.70 | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.07, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.40, failure_done=-0.00
2026-03-01 13:32:14,005 | INFO | Episode 220/8000 | Avg Reward: 119.52 | Avg Length: 312.70 | Avg Loss: 155.2858 | Avg Found Sources: 3.80 | Success Rate: 80.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.12, collision=-0.00, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=0.69, failure_done=-0.00
2026-03-01 13:32:36,122 | INFO | Episode 230/8000 | Avg Reward: 130.17 | Avg Length: 290.10 | Avg Loss: 133.2870 | Avg Found Sources: 3.90 | Success Rate: 90.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.10, collision=-0.01, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.58, failure_done=-0.00
2026-03-01 13:33:05,053 | INFO | Episode 240/8000 | Avg Reward: 110.01 | Avg Length: 385.70 | Avg Loss: 93.2071 | Avg Found Sources: 3.70 | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.07, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.39, failure_done=-0.00
2026-03-01 13:33:37,114 | INFO | Episode 250/8000 | Avg Reward: 83.97 | Avg Length: 431.90 | Avg Loss: 74.8511 | Avg Found Sources: 3.40 | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.31, failure_done=-0.00
2026-03-01 13:34:03,231 | INFO | Episode 260/8000 | Avg Reward: 106.49 | Avg Length: 342.70 | Avg Loss: 281.3259 | Avg Found Sources: 3.70 | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.19, collision=-0.01, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=1.11, failure_done=-0.00
2026-03-01 13:34:28,896 | INFO | Episode 270/8000 | Avg Reward: 108.99 | Avg Length: 337.40 | Avg Loss: 123.4202 | Avg Found Sources: 3.70 | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.10, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.53, failure_done=-0.00
2026-03-01 13:35:02,053 | INFO | Episode 280/8000 | Avg Reward: 88.42 | Avg Length: 444.20 | Avg Loss: 82.9241 | Avg Found Sources: 3.30 | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.07, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.35, failure_done=-0.00
2026-03-01 13:35:35,197 | INFO | Episode 290/8000 | Avg Reward: 82.60 | Avg Length: 445.10 | Avg Loss: 88.1989 | Avg Found Sources: 3.40 | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.07, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.36, failure_done=-0.00
2026-03-01 13:36:00,674 | INFO | Episode 300/8000 | Avg Reward: 121.73 | Avg Length: 334.40 | Avg Loss: 201.9472 | Avg Found Sources: 3.80 | Success Rate: 80.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.14, collision=-0.01, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=0.81, failure_done=-0.00
2026-03-01 13:36:18,082 | INFO | Episode 310/8000 | Avg Reward: 148.58 | Avg Length: 224.60 | Avg Loss: 163.4405 | Avg Found Sources: 4.00 | Success Rate: 100.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.12, collision=-0.00, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=0.71, failure_done=0.00
