2026-03-11 14:27:16,449 | INFO | Episode 160/8000 | Avg Reward: 11.05 | Avg Length: 644.70 | Avg Loss: 49.0664 | Avg Found Sources: 2.10 | Avg Found Ratio: 50.08% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.05, failure_done=-0.01
2026-03-11 14:29:35,072 | INFO | Episode 170/8000 | Avg Reward: -1.38 | Avg Length: 623.30 | Avg Loss: 661.4626 | Avg Found Sources: 2.00 | Avg Found Ratio: 49.51% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.63, failure_done=-0.01
2026-03-11 14:32:14,600 | INFO | Episode 180/8000 | Avg Reward: -7.10 | Avg Length: 687.30 | Avg Loss: 23.0667 | Avg Found Sources: 2.60 | Avg Found Ratio: 50.10% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.02, failure_done=-0.01
2026-03-11 14:34:44,504 | INFO | Episode 190/8000 | Avg Reward: -40.68 | Avg Length: 691.30 | Avg Loss: 8.9182 | Avg Found Sources: 1.30 | Avg Found Ratio: 20.37% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 14:37:10,691 | INFO | Episode 200/8000 | Avg Reward: -31.12 | Avg Length: 660.10 | Avg Loss: 37.2861 | Avg Found Sources: 2.00 | Avg Found Ratio: 40.24% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-11 14:39:40,636 | INFO | Episode 210/8000 | Avg Reward: 0.60 | Avg Length: 690.90 | Avg Loss: 0.5305 | Avg Found Sources: 0.80 | Avg Found Ratio: 15.67% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 14:41:53,956 | INFO | Episode 220/8000 | Avg Reward: 22.90 | Avg Length: 604.70 | Avg Loss: 799.0517 | Avg Found Sources: 2.60 | Avg Found Ratio: 56.90% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.14, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=1.52, failure_done=-0.01
2026-03-11 14:44:09,105 | INFO | Episode 230/8000 | Avg Reward: -34.93 | Avg Length: 627.00 | Avg Loss: 254.3868 | Avg Found Sources: 1.60 | Avg Found Ratio: 40.12% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.11, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.26, failure_done=-0.01
2026-03-11 14:46:18,612 | INFO | Episode 240/8000 | Avg Reward: 15.22 | Avg Length: 603.90 | Avg Loss: 99.2193 | Avg Found Sources: 2.10 | Avg Found Ratio: 52.75% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.10, failure_done=-0.01
2026-03-11 14:48:52,239 | INFO | Episode 250/8000 | Avg Reward: -39.66 | Avg Length: 691.90 | Avg Loss: 9.7803 | Avg Found Sources: 2.20 | Avg Found Ratio: 42.02% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.09, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 14:51:14,347 | INFO | Episode 260/8000 | Avg Reward: -21.39 | Avg Length: 645.20 | Avg Loss: 49.6300 | Avg Found Sources: 2.80 | Avg Found Ratio: 56.25% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.05, failure_done=-0.01
2026-03-11 14:53:37,892 | INFO | Episode 270/8000 | Avg Reward: -27.53 | Avg Length: 671.00 | Avg Loss: 30.4891 | Avg Found Sources: 2.00 | Avg Found Ratio: 48.75% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.09, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-11 14:55:51,460 | INFO | Episode 280/8000 | Avg Reward: 16.23 | Avg Length: 623.20 | Avg Loss: 786.2707 | Avg Found Sources: 1.50 | Avg Found Ratio: 42.25% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.04, found=0.18, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=4.00, failure_done=-0.01
2026-03-11 14:58:03,833 | INFO | Episode 290/8000 | Avg Reward: -0.09 | Avg Length: 597.50 | Avg Loss: 144.8749 | Avg Found Sources: 2.50 | Avg Found Ratio: 58.75% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.02, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.18, failure_done=-0.01
2026-03-11 15:00:34,313 | INFO | Episode 300/8000 | Avg Reward: -19.06 | Avg Length: 692.00 | Avg Loss: 5.0808 | Avg Found Sources: 1.60 | Avg Found Ratio: 31.01% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 15:02:50,297 | INFO | Episode 310/8000 | Avg Reward: 21.10 | Avg Length: 623.40 | Avg Loss: 782.7414 | Avg Found Sources: 2.90 | Avg Found Ratio: 52.07% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.10, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=2.00, failure_done=-0.01
2026-03-11 15:05:19,136 | INFO | Episode 320/8000 | Avg Reward: 6.84 | Avg Length: 692.00 | Avg Loss: 2.9918 | Avg Found Sources: 2.10 | Avg Found Ratio: 40.26% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
