2026-02-26 01:37:18,979 | INFO | Episode 190/5000 | Avg Reward: 44.38 | Avg Length: 237.40 | Avg Loss: 21.1620 | Avg Found Sources: 3.10 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.15, collision=0.00, battery=-0.00, distance=0.00, success_done=0.06, failure_done=-0.01
2026-02-26 01:37:35,704 | INFO | Episode 200/5000 | Avg Reward: 25.50 | Avg Length: 261.10 | Avg Loss: 12.1914 | Avg Found Sources: 1.80 | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.08, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.01
2026-02-26 01:37:53,687 | INFO | Episode 210/5000 | Avg Reward: 19.01 | Avg Length: 291.70 | Avg Loss: 6.9537 | Avg Found Sources: 1.90 | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.07, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:38:11,609 | INFO | Episode 220/5000 | Avg Reward: 21.97 | Avg Length: 287.00 | Avg Loss: 6.0983 | Avg Found Sources: 1.80 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:38:29,376 | INFO | Episode 230/5000 | Avg Reward: 23.26 | Avg Length: 281.30 | Avg Loss: 8.7041 | Avg Found Sources: 1.90 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.08, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.02
2026-02-26 01:38:47,323 | INFO | Episode 240/5000 | Avg Reward: 6.63 | Avg Length: 289.60 | Avg Loss: 2.5622 | Avg Found Sources: 1.00 | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.01, found=0.04, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:39:04,516 | INFO | Episode 250/5000 | Avg Reward: 18.91 | Avg Length: 268.20 | Avg Loss: 13.3804 | Avg Found Sources: 1.60 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.02
2026-02-26 01:39:22,221 | INFO | Episode 260/5000 | Avg Reward: 21.38 | Avg Length: 278.90 | Avg Loss: 5.7445 | Avg Found Sources: 2.00 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.07, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:39:38,625 | INFO | Episode 270/5000 | Avg Reward: 23.52 | Avg Length: 258.80 | Avg Loss: 12.9625 | Avg Found Sources: 2.10 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.02
2026-02-26 01:39:54,885 | INFO | Episode 280/5000 | Avg Reward: 17.06 | Avg Length: 254.70 | Avg Loss: 5.9464 | Avg Found Sources: 1.90 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.08, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:40:11,094 | INFO | Episode 290/5000 | Avg Reward: 21.70 | Avg Length: 252.10 | Avg Loss: 6.3012 | Avg Found Sources: 2.20 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
