episode,avg_reward,avg_found_sources
10,2.704656,0.5000
20,-0.480484,0.4000
30,4.929389,0.7000
40,5.162728,0.9000
50,1.601182,0.4000
60,1.324652,0.3000
70,1.706173,0.4000
80,4.544971,0.5000
90,1.585231,0.6000
100,6.668939,0.9000
110,4.306586,0.7000
120,-1.288702,0.3000
130,7.585624,1.0000
140,11.001503,1.2000
150,7.546544,0.8000
160,12.972970,1.1000
170,10.203273,1.0000
180,2.903001,0.4000
190,10.734728,1.2000
200,2.697135,0.5000
210,9.103957,0.9000
220,9.018369,0.7000
230,5.808015,0.4000
240,0.215037,0.3000
250,7.932134,0.7000
260,9.708827,1.0000
270,6.516503,0.7000
280,8.093169,0.8000
290,2.029305,0.3000
300,5.254467,0.4000
310,4.683039,0.5000
320,12.815966,0.8000
330,13.782150,0.8000
340,0.884333,0.2000
350,7.011467,0.5000
360,6.861556,0.6000
370,8.450613,0.6000
380,4.707823,0.4000
390,4.162313,0.4000
400,4.255991,0.6000
410,11.464165,0.8000
420,17.293523,1.2000
430,8.276920,0.5000
440,12.911725,0.9000
450,9.740485,0.8000
460,4.973743,0.6000
470,5.095424,0.4000
480,5.671163,0.5000
490,11.441576,0.9000
500,2.210288,0.4000
510,-0.469724,0.3000
520,3.860395,0.5000
530,3.766527,0.6000
540,1.129691,0.4000
550,1.038804,0.2000
560,3.940292,0.6000
570,6.863798,0.9000
580,5.836243,0.8000
590,9.155421,0.9000
600,4.743709,0.7000
610,3.031582,0.5000
620,-0.708324,0.2000
630,-1.862492,0.2000
640,1.715790,0.4000
650,-0.426508,0.2000
660,2.229757,0.4000
670,-0.053200,0.3000
680,0.120742,0.3000
690,1.208995,0.4000
700,2.192908,0.5000
710,2.097063,0.6000
720,-2.843572,0.2000
730,-3.486958,0.1000
740,1.396026,0.6000
750,1.002875,0.5000
760,0.553386,0.4000
770,0.132760,0.4000
780,1.703305,0.5000
790,8.057586,0.9000
800,0.618070,0.5000
810,-0.646371,0.3000
820,0.279912,0.4000
830,1.428963,0.5000
840,3.301018,0.8000
850,3.069296,0.6000
860,6.189884,0.8000
870,5.815098,0.7000
880,4.825010,0.7000
890,5.921191,0.6000
900,6.461682,0.8000
910,7.611488,1.1000
920,2.267739,0.5000
930,9.142641,1.2000
940,3.403897,0.6000
950,6.126759,0.6000
960,5.576528,0.6000
970,-0.006912,0.1000
980,7.510776,0.6000
990,14.083307,1.0000
1000,30.571003,2.1000
1010,22.866397,1.4000
1020,21.544080,1.7000
1030,23.888670,1.7000
1040,16.280213,1.5000
1050,37.261910,2.3000
1060,20.460008,1.4000
1070,25.729434,2.2000
1080,22.612079,1.9000
1090,13.354483,1.1000
1100,14.837567,1.1000
1110,15.290252,1.5000
1120,18.569108,1.8000
1130,14.856726,1.7000
1140,22.945993,2.1000
1150,32.132556,2.2000
1160,20.416918,1.7000
1170,20.938332,1.7000
1180,11.188752,1.1000
1190,11.885195,1.4000
1200,11.180964,1.3000
1210,23.225573,1.8000
1220,10.962663,0.9000
1230,17.222547,1.3000
1240,35.897906,2.2000
1250,20.655314,1.5000
1260,34.143903,2.6000
1270,29.202622,2.4000
1280,21.365381,1.9000
1290,27.244701,2.1000
1300,16.232904,1.4000
1310,25.194172,2.0000
1320,25.029992,1.5000
1330,20.311762,1.4000
1340,21.108986,1.6000
1350,34.841765,2.3000
1360,26.372643,2.1000
1370,24.271262,2.0000
1380,17.229361,1.7000
1390,19.155069,1.6000
1400,29.342603,2.2000
1410,21.746285,1.9000
1420,17.283150,1.5000
1430,26.766533,2.0000
1440,26.377180,2.3000
1450,36.523444,2.5000
1460,18.342721,1.3000
1470,21.139091,1.6000
1480,26.431247,2.0000
1490,21.414565,1.6000
1500,32.299602,2.4000
1510,28.049525,2.2000
1520,27.773604,2.1000
1530,19.547552,1.5000
1540,24.680268,1.8000
1550,16.400449,1.1000
1560,26.926722,2.1000
1570,14.984675,1.2000
1580,27.935450,1.8000
1590,27.165809,1.8000
1600,15.938857,1.3000
1610,23.435021,2.0000
1620,23.682936,1.8000
1630,19.301386,1.8000
1640,17.110045,1.6000
1650,21.534647,1.9000
1660,25.141148,2.0000
1670,25.024335,2.2000
1680,25.472435,2.2000
1690,24.637616,2.2000
1700,18.343142,1.6000
1710,31.351780,2.4000
1720,29.931561,2.1000
1730,42.683626,2.4000
1740,25.599062,1.9000
1750,25.681888,1.9000
1760,15.533223,1.6000
1770,17.297612,1.7000
1780,13.657722,1.4000
1790,34.426033,2.4000
1800,33.520967,2.4000
1810,19.723140,1.8000
1820,19.238287,1.7000
1830,31.697446,2.6000
1840,23.232985,2.1000
1850,26.911261,2.3000
1860,33.656338,2.5000
1870,29.595771,2.3000
1880,30.481507,2.4000
1890,34.379692,2.3000
1900,17.371207,1.5000
1910,31.051117,2.5000
1920,34.791731,2.4000
1930,23.931235,1.8000
1940,28.096885,1.9000
1950,20.208138,1.7000
1960,16.034355,1.3000
1970,25.370584,2.0000
1980,25.940192,1.8000
1990,21.985161,1.9000
2000,33.083569,2.3000
2010,22.623495,2.0000
2020,32.219130,2.5000
2030,31.911326,2.4000
2040,34.738907,2.7000
2050,34.427689,2.5000
2060,47.911391,2.9000
2070,29.633672,2.2000
2080,36.952328,2.7000
2090,34.829228,2.6000
2100,25.711101,2.0000
