episode,avg_reward,avg_found_sources,avg_found_ratio
1810,73.311926,5.4000,0.864881
1820,45.495695,3.7000,0.822500
1830,50.754013,4.2000,0.783929
1840,-11.934245,3.3000,0.650000
1850,15.219956,3.8000,0.585357
1860,45.564338,3.0000,0.621429
1870,-7.980499,2.6000,0.483810
1880,3.137225,3.5000,0.646548
1890,38.192220,2.8000,0.577738
1900,10.867073,3.2000,0.629762
1910,20.870360,4.1000,0.685476
1920,31.691393,2.4000,0.623810
1930,26.664647,2.7000,0.661429
1940,-1.327888,4.0000,0.677381
1950,64.240804,2.4000,0.702381
1960,9.568151,2.5000,0.590357
1970,-6.734856,2.8000,0.601667
1980,31.019473,3.2000,0.649643
1990,14.016017,3.2000,0.674881
2000,27.170427,2.4000,0.654167
2010,30.939923,2.8000,0.538214
2020,10.739011,2.6000,0.575833
2030,25.792287,1.7000,0.503810
2040,22.394801,2.4000,0.746667
2050,-9.623860,2.3000,0.494643
2060,-8.162725,3.0000,0.532143
2070,-28.019365,3.2000,0.563690
2080,40.399664,2.6000,0.653810
2090,2.883835,2.2000,0.546190
2100,-4.831453,2.0000,0.551667
2110,-18.021029,4.1000,0.671429
2120,33.487066,3.0000,0.759524
2130,47.955285,3.9000,0.765476
2140,37.029861,3.2000,0.719762
2150,33.035021,3.9000,0.738690
2160,0.293628,2.0000,0.490238
2170,18.983637,3.4000,0.745714
2180,26.700665,3.1000,0.662976
2190,69.996199,3.2000,0.787143
2200,16.267723,3.5000,0.663095
2210,-30.728934,3.6000,0.646786
2220,43.602518,3.3000,0.663095
2230,37.102296,3.5000,0.658333
2240,15.127008,3.0000,0.539881
2250,25.509460,3.1000,0.582143
2260,11.173037,1.9000,0.561667
2270,67.686121,2.5000,0.780952
2280,15.982651,4.1000,0.800595
2290,35.948154,4.0000,0.770833
2300,51.701884,3.0000,0.718810
2310,21.471931,3.8000,0.724167
2320,7.350207,3.3000,0.708333
2330,48.169186,3.8000,0.737143
2340,63.098324,3.6000,0.760476
2350,45.742285,2.4000,0.773333
2360,26.598474,3.9000,0.780714
2370,-5.351503,3.4000,0.638690
2380,3.641654,3.3000,0.615119
2390,-6.682820,3.6000,0.686429
2400,4.424731,3.2000,0.644048
2410,27.877362,2.9000,0.687500
2420,56.715082,3.4000,0.844167
2430,50.194250,3.7000,0.776548
2440,0.196101,3.8000,0.722500
2450,32.438444,3.5000,0.794048
2460,16.247059,2.8000,0.783333
2470,-1.672158,3.2000,0.606667
2480,59.887969,4.0000,0.755833
2490,32.391225,3.5000,0.834167
2500,50.142382,3.3000,0.804167
2510,49.272526,4.7000,0.783333
2520,35.191406,2.9000,0.733810
2530,19.032049,3.2000,0.697143
2540,27.313486,3.3000,0.771429
2550,55.365535,2.2000,0.733810
2560,33.205190,1.6000,0.660000
2570,44.058526,3.6000,0.774167
2580,25.302351,2.7000,0.755000
2590,-8.690738,3.7000,0.689762
2600,30.553086,3.2000,0.654762
2610,46.626678,3.1000,0.820833
2620,8.102183,3.0000,0.597143
2630,13.043132,3.0000,0.599048
2640,64.441285,3.1000,0.826667
2650,13.743244,3.9000,0.733214
2660,16.459516,3.6000,0.657976
2670,54.482194,3.3000,0.745000
2680,-7.793000,3.8000,0.720833
2690,41.824043,3.0000,0.829762
2700,46.871901,3.5000,0.802024
2710,34.781810,3.0000,0.730357
2720,44.942082,3.5000,0.858333
2730,13.277398,3.9000,0.689881
2740,19.555123,2.6000,0.598929
2750,13.054837,3.3000,0.578333
2760,-5.094084,3.4000,0.560000
2770,-4.832851,3.4000,0.642262
2780,-7.046704,3.9000,0.711667
2790,44.682448,3.2000,0.650833
2800,37.277818,3.0000,0.752381
2810,46.116049,3.9000,0.720833
2820,4.595769,3.4000,0.766667
2830,30.952424,3.0000,0.681429
2840,22.248799,2.8000,0.621429
2850,40.533110,3.6000,0.777619
2860,17.220686,2.8000,0.492143
2870,8.680686,3.6000,0.679167
2880,13.602509,3.6000,0.840714
2890,42.877936,3.8000,0.821667
2900,35.462055,3.7000,0.782381
2910,-14.834168,3.5000,0.685714
2920,29.732110,3.1000,0.579762
2930,4.037820,2.1000,0.595000
2940,9.044816,3.0000,0.708333
2950,-44.712320,3.0000,0.515000
2960,9.947634,2.7000,0.623810
2970,-9.631937,2.9000,0.652857
2980,19.355046,3.5000,0.710476
2990,-23.524831,2.9000,0.601429
3000,-34.537463,2.1000,0.459167
3010,16.763012,2.1000,0.585833
3020,2.197777,3.0000,0.575000
