2026-03-09 14:10:52,924 | INFO | Episode 160/8000 | Avg Reward: 23.85 | Avg Length: 501.60 | Avg Loss: 442.8101 | Avg Found Sources: 2.30 | Avg Found Ratio: 57.37% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.07, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.81, failure_done=-0.01
2026-03-09 14:12:22,966 | INFO | Episode 170/8000 | Avg Reward: 8.26 | Avg Length: 604.10 | Avg Loss: 3.4385 | Avg Found Sources: 2.60 | Avg Found Ratio: 44.55% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:13:55,242 | INFO | Episode 180/8000 | Avg Reward: 25.65 | Avg Length: 613.60 | Avg Loss: 4.1752 | Avg Found Sources: 3.40 | Avg Found Ratio: 53.99% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.05, found=0.03, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:15:17,132 | INFO | Episode 190/8000 | Avg Reward: 36.95 | Avg Length: 548.90 | Avg Loss: 71.2674 | Avg Found Sources: 2.70 | Avg Found Ratio: 68.58% | Success Rate: 40.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.11, failure_done=-0.00
2026-03-09 14:16:38,752 | INFO | Episode 200/8000 | Avg Reward: 30.66 | Avg Length: 553.40 | Avg Loss: 46.4540 | Avg Found Sources: 3.10 | Avg Found Ratio: 63.38% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.08, failure_done=-0.01
2026-03-09 14:18:02,957 | INFO | Episode 210/8000 | Avg Reward: 21.44 | Avg Length: 563.80 | Avg Loss: 44.3527 | Avg Found Sources: 2.40 | Avg Found Ratio: 41.92% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.07, failure_done=-0.01
2026-03-09 14:19:26,922 | INFO | Episode 220/8000 | Avg Reward: 2.31 | Avg Length: 561.10 | Avg Loss: 29.1023 | Avg Found Sources: 2.20 | Avg Found Ratio: 41.25% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.04, failure_done=-0.01
2026-03-09 14:20:53,395 | INFO | Episode 230/8000 | Avg Reward: 7.84 | Avg Length: 577.60 | Avg Loss: 30.4964 | Avg Found Sources: 2.20 | Avg Found Ratio: 43.44% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.04, failure_done=-0.01
2026-03-09 14:22:12,038 | INFO | Episode 240/8000 | Avg Reward: 24.61 | Avg Length: 522.40 | Avg Loss: 214.5213 | Avg Found Sources: 2.80 | Avg Found Ratio: 54.82% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.04, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.39, failure_done=-0.01
2026-03-09 14:23:23,285 | INFO | Episode 250/8000 | Avg Reward: 6.35 | Avg Length: 471.10 | Avg Loss: 2.1370 | Avg Found Sources: 1.50 | Avg Found Ratio: 30.95% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:24:27,245 | INFO | Episode 260/8000 | Avg Reward: -7.07 | Avg Length: 436.60 | Avg Loss: 6.4840 | Avg Found Sources: 0.80 | Avg Found Ratio: 15.21% | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:25:31,454 | INFO | Episode 270/8000 | Avg Reward: 3.83 | Avg Length: 431.00 | Avg Loss: 0.7142 | Avg Found Sources: 0.80 | Avg Found Ratio: 20.00% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.00, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:26:35,574 | INFO | Episode 280/8000 | Avg Reward: -28.37 | Avg Length: 431.00 | Avg Loss: 10.6794 | Avg Found Sources: 0.50 | Avg Found Ratio: 7.36% | Success Rate: 0.00% | Partial Success Rate: 30.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:27:41,050 | INFO | Episode 290/8000 | Avg Reward: 1.45 | Avg Length: 431.10 | Avg Loss: 0.7897 | Avg Found Sources: 1.10 | Avg Found Ratio: 24.10% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.00, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:28:38,397 | INFO | Episode 300/8000 | Avg Reward: 7.34 | Avg Length: 388.40 | Avg Loss: 639.7509 | Avg Found Sources: 0.90 | Avg Found Ratio: 24.92% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.11, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=2.40, failure_done=-0.01
2026-03-09 14:29:42,329 | INFO | Episode 310/8000 | Avg Reward: -7.33 | Avg Length: 431.00 | Avg Loss: 5.1452 | Avg Found Sources: 1.50 | Avg Found Ratio: 25.36% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:30:44,689 | INFO | Episode 320/8000 | Avg Reward: -4.01 | Avg Length: 431.00 | Avg Loss: 4.0391 | Avg Found Sources: 0.60 | Avg Found Ratio: 16.76% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
