episode,avg_reward
10,16.004762
20,7.945133
30,19.677622
40,21.413879
50,27.246260
60,-64.318204
70,21.069566
80,4.573401
90,27.462795
100,0.198593
110,21.861527
120,6.372041
130,8.796075
140,17.783093
150,-2.068272
160,25.784981
170,-30.387671
180,33.054660
190,-6.677944
200,14.768509
210,24.607858
220,31.742269
230,21.378035
240,23.960307
250,23.833207
260,28.924084
270,27.128413
280,20.598512
290,18.543854
300,15.640410
310,1.357353
320,9.621329
330,21.464452
340,12.378373
350,-53.575005
360,26.450117
370,19.681889
380,-5.357049
390,20.661958
400,24.891187
410,13.981599
420,27.367412
430,-24.361647
440,22.930017
450,13.083234
460,17.250402
470,13.087859
480,-19.017174
490,-36.148507
500,4.258157
510,-9.515761
520,17.936983
530,25.086533
540,4.145676
550,18.476685
560,19.846043
570,24.722229
580,18.366999
590,17.022671
600,1.106867
610,5.907181
620,-0.466356
630,-39.514488
640,-2.781204
650,1.178901
660,-15.883641
670,22.273103
680,23.458938
690,18.878390
700,13.819681
710,28.360372
720,6.040362
730,26.419778
740,-28.239418
750,21.758955
760,-12.399981
770,26.945276
780,25.153667
790,38.247191
800,23.342559
810,30.903837
820,29.202289
830,28.994024
840,-17.234274
850,-1.116427
860,14.259877
870,18.939699
880,25.535295
890,29.529858
900,5.220038
910,-1.592343
920,9.876693
930,26.229788
940,22.760888
950,20.753041
960,16.629724
970,7.716179
980,6.061903
990,8.484949
1000,-3.449989
1010,16.527897
1020,28.113045
1030,3.707969
1040,15.857820
1050,24.806682
1060,24.612283
1070,22.419086
1080,20.824246
1090,29.336292
1100,16.882343
1110,22.237362
1120,28.506618
1130,24.409327
1140,20.828442
1150,12.958694
1160,29.311280
1170,20.438139
1180,23.625912
1190,20.040942
1200,30.446965
1210,19.662493
1220,0.829358
1230,29.763181
1240,23.837211
1250,-25.562795
1260,1.851458
1270,15.383267
1280,27.115134
1290,9.518857
1300,6.567221
1310,-4.100471
1320,24.809119
1330,-7.912345
1340,11.917647
1350,13.140664
1360,12.155608
1370,23.908524
1380,11.686780
1390,-34.669433
1400,17.804050
1410,9.476191
1420,23.243748
1430,9.934865
1440,30.274942
1450,14.486203
1460,36.601553
1470,-2.425129
1480,-3.202248
1490,3.381474
1500,27.326601
1510,8.050373
1520,17.300714
1530,7.146511
1540,-0.433585
1550,4.033817
1560,-20.971383
1570,27.975171
1580,2.237721
1590,-4.981351
1600,20.669553
1610,19.850801
1620,20.881275
1630,28.026578
1640,5.648790
1650,21.725613
1660,10.915246
1670,25.672263
1680,17.351932
1690,-19.473048
1700,20.654662
1710,36.283945
1720,26.836496
1730,25.291488
1740,29.222795
1750,5.351059
1760,19.006084
1770,27.157993
1780,24.679383
1790,25.908187
1800,17.159822
1810,21.880925
1820,19.870111
1830,16.389718
1840,3.732774
1850,28.342318
1860,-7.701301
1870,28.832802
1880,8.725310
1890,24.223236
1900,5.415929
1910,-16.246495
1920,30.514646
1930,22.926679
1940,9.832616
1950,18.147095
1960,18.399538
1970,21.201362
1980,17.821466
1990,28.001169
2000,20.305053
2010,28.148717
2020,20.567418
2030,13.938150
2040,24.396621
2050,20.516523
2060,19.587889
2070,23.533547
2080,5.756390
2090,-43.322323
2100,-6.639059
2110,22.750627
2120,12.760760
2130,13.186640
2140,3.861766
2150,33.221766
2160,14.102337
2170,1.833470
2180,17.319851
2190,-22.355083
2200,0.718749
2210,20.601059
2220,13.481258
2230,19.734704
2240,-40.499081
2250,19.051337
2260,26.980637
2270,3.718379
2280,12.105100
2290,27.129358
2300,23.705613
2310,14.267657
2320,26.298314
2330,-13.816437
2340,17.720591
2350,19.219303
2360,11.053697
2370,-6.922232
2380,15.891957
2390,14.285226
2400,14.729843
2410,25.244897
2420,-15.910571
2430,11.430926
2440,3.560282
2450,29.490006
2460,25.197401
2470,-9.643577
2480,13.239392
2490,7.268405
2500,13.149034
2510,6.266116
2520,6.441686
2530,7.958651
2540,12.150325
2550,-19.885774
2560,4.295760
2570,10.362122
2580,21.951283
2590,-16.977741
2600,19.399977
2610,24.324750
2620,-6.686369
2630,23.154705
2640,29.724593
2650,-9.311898
2660,1.077767
2670,10.542984
2680,19.800230
2690,3.926275
2700,25.240781
2710,26.320774
2720,8.713303
2730,25.440776
2740,14.011484
2750,21.608480
2760,8.649520
2770,27.306011
2780,-6.325901
2790,-10.377351
2800,19.977970
2810,-7.039183
2820,-15.307745
2830,9.882455
2840,24.514971
2850,-9.670931
2860,-10.621117
2870,17.275075
2880,22.461991
2890,9.324864
2900,-2.583631
2910,23.150088
2920,17.103139
2930,12.952341
2940,8.741844
2950,13.688334
2960,14.689691
2970,22.874704
2980,21.562971
2990,22.462913
3000,26.675438
3010,19.961470
3020,33.002097
3030,7.366386
3040,21.793315
3050,20.632032
3060,19.910574
3070,20.857718
3080,12.824901
3090,-15.521228
3100,23.545336
3110,25.912311
3120,27.860288
3130,20.317192
3140,13.394869
3150,25.133550
3160,1.256617
3170,5.752121
3180,11.911519
3190,24.760642
3200,17.705585
3210,20.788158
3220,24.298095
3230,22.482557
3240,-4.640156
3250,14.319579
3260,14.571716
3270,20.089514
3280,26.818614
3290,23.581414
3300,24.175957
3310,-4.646334
3320,-20.403217
3330,31.281874
3340,23.542570
3350,11.092927
3360,36.077132
3370,25.078524
3380,25.733998
3390,19.954849
3400,20.467936
3410,20.925097
3420,30.793775
3430,31.282379
3440,-7.615196
3450,31.727988
3460,21.659652
3470,14.174883
3480,-2.201878
3490,12.362722
3500,19.539631
3510,9.833298
3520,18.288968
3530,27.311745
3540,29.434386
3550,10.326751
3560,1.123482
3570,5.342055
3580,19.231818
3590,15.976841
3600,11.733973
3610,25.559181
3620,14.158168
3630,27.761394
3640,-4.070423
3650,-1.121611
3660,21.040153
3670,3.366762
3680,31.915352
3690,3.974583
3700,23.438480
3710,6.088535
3720,25.896687
3730,-3.570822
3740,6.783350
3750,12.194578
3760,25.059750
3770,22.227364
3780,15.334830
3790,2.522668
3800,-0.437115
3810,22.036966
3820,25.165859
3830,7.077458
3840,8.908096
3850,15.783069
3860,34.742873
3870,19.639509
3880,15.631063
3890,16.204824
3900,17.537793
3910,19.659034
3920,-43.507255
3930,19.569649
3940,-28.541484
3950,-11.385652
3960,16.529132
3970,21.178830
3980,27.758027
3990,26.601768
4000,14.398003
4010,20.939767
4020,-9.888753
4030,25.321156
4040,11.731109
4050,24.222779
4060,37.583980
4070,12.651103
4080,29.135891
4090,22.831891
4100,7.543024
4110,22.712319
4120,1.197482
4130,8.948306
4140,9.626443
4150,2.013821
4160,26.207604
4170,23.217560
4180,-28.126910
4190,16.546887
4200,20.938444
4210,13.520612
4220,19.787456
4230,12.697074
4240,17.168050
4250,15.756594
4260,5.706482
4270,5.756912
4280,2.984815
4290,17.401055
4300,13.798234
4310,13.817413
4320,-7.354415
4330,-2.099180
4340,23.518335
4350,-15.496821
4360,6.898863
4370,16.493963
4380,-22.858424
4390,29.212184
4400,-5.716916
4410,-7.233200
4420,22.456139
4430,21.300980
4440,-4.638481
4450,0.258239
4460,19.915117
4470,16.032170
4480,3.921110
4490,24.259323
4500,18.637666
4510,22.641938
4520,5.596944
4530,-13.084649
4540,9.129237
4550,-4.057799
4560,17.281530
4570,14.656430
4580,19.089480
4590,12.189570
4600,8.544806
4610,32.466086
4620,20.555283
4630,1.416687
4640,20.882803
4650,23.001527
4660,19.482428
4670,26.045319
4680,20.161245
4690,3.808195
4700,6.627876
