episode,avg_reward,avg_found_sources,avg_found_ratio
10,22.146353,3.9000,0.779881
20,30.685061,3.2000,0.764524
30,40.712704,3.9000,0.825000
40,15.883569,3.1000,0.689167
50,38.921084,3.1000,0.699048
60,38.159751,3.4000,0.746905
70,44.032515,3.8000,0.781548
80,54.019567,4.2000,0.767857
90,26.648625,3.9000,0.699762
100,-4.533027,2.3000,0.605000
110,41.391257,3.5000,0.756905
120,17.339256,3.2000,0.576667
130,-0.295131,3.2000,0.575000
140,51.560049,3.0000,0.807143
150,25.317396,3.7000,0.686071
160,26.692842,3.0000,0.717500
170,61.353857,2.5000,0.740000
180,1.094698,2.9000,0.583929
190,9.936314,4.0000,0.737500
200,82.490293,3.3000,0.842857
210,14.900538,3.7000,0.610833
220,20.244878,3.4000,0.705238
230,48.536911,2.9000,0.738095
240,16.436085,3.4000,0.666190
250,31.086948,2.8000,0.712143
260,52.772674,3.1000,0.836667
270,47.085224,3.7000,0.833333
280,26.906706,4.2000,0.793095
290,62.532305,3.0000,0.811905
300,-0.671173,2.9000,0.663690
310,61.808970,3.1000,0.786905
320,1.549620,2.3000,0.663333
330,20.527841,3.8000,0.741429
340,30.304601,4.1000,0.777976
350,19.314870,4.5000,0.823214
360,-3.540014,3.8000,0.788929
370,2.937038,3.1000,0.695000
380,43.521797,3.2000,0.770595
390,20.540204,3.9000,0.754524
400,31.662767,3.6000,0.743452
410,68.748075,4.8000,0.882381
420,52.176849,2.9000,0.800476
430,32.564778,3.6000,0.729167
440,43.617971,3.6000,0.825595
450,42.062389,2.8000,0.696667
460,26.319917,2.8000,0.622024
470,35.604953,3.7000,0.746905
480,26.265652,3.7000,0.755595
490,41.040057,3.4000,0.701548
500,65.179745,3.4000,0.788571
510,56.261456,3.4000,0.849762
520,39.775382,3.9000,0.815476
530,15.547949,3.2000,0.602976
540,34.088902,3.9000,0.771905
550,9.219186,2.5000,0.605000
560,-6.825780,3.0000,0.591667
570,46.063210,3.2000,0.748095
580,50.552424,3.1000,0.763929
590,38.136389,2.8000,0.615833
600,-26.028911,3.0000,0.587381
610,13.101389,3.2000,0.655714
620,-3.308116,3.3000,0.495833
630,60.387208,3.7000,0.837500
640,7.018571,3.2000,0.654762
650,46.715845,2.2000,0.635000
660,30.392940,4.0000,0.793452
670,-1.176174,3.6000,0.606429
680,60.820212,3.2000,0.809167
690,41.058664,3.2000,0.629762
700,25.457974,2.7000,0.739881
710,-9.511441,3.8000,0.571429
720,31.487487,3.7000,0.758214
730,9.233944,3.1000,0.611548
740,5.634553,3.4000,0.700714
750,44.345933,2.8000,0.609405
760,41.238086,2.9000,0.707500
770,58.501087,2.7000,0.661429
780,23.696549,2.7000,0.712143
790,64.814282,3.7000,0.768452
800,14.129603,2.5000,0.568333
810,-14.263249,2.7000,0.574167
820,66.759787,2.0000,0.805000
830,34.392677,3.7000,0.656548
840,1.669980,3.4000,0.731667
850,0.800989,1.9000,0.634167
860,10.259099,1.0000,0.457619
870,43.712665,3.6000,0.747500
880,43.104621,4.5000,0.779048
890,33.796061,3.9000,0.705833
900,3.474873,3.2000,0.622500
910,8.950822,3.3000,0.660595
920,11.170947,2.0000,0.512500
930,48.727114,3.6000,0.673214
940,53.175769,3.6000,0.742262
950,21.696668,3.3000,0.662500
960,20.650422,2.8000,0.683929
970,9.206051,3.9000,0.717857
980,45.941109,3.5000,0.779643
990,39.515644,3.2000,0.801667
1000,65.005063,3.3000,0.775000
1010,46.486462,3.2000,0.801429
1020,29.883144,4.7000,0.810833
1030,49.515975,3.7000,0.639881
1040,36.800206,3.6000,0.811310
1050,15.122698,3.4000,0.714286
1060,1.459166,3.9000,0.647143
1070,31.921760,3.9000,0.798214
1080,45.441950,3.3000,0.647381
1090,99.507133,4.4000,0.840714
1100,50.805739,2.8000,0.779167
1110,50.846409,2.5000,0.708333
1120,22.799472,3.4000,0.718929
1130,-6.726251,1.9000,0.496667
1140,37.155541,3.0000,0.672024
1150,15.020110,3.0000,0.548929
1160,9.105757,3.5000,0.704048
1170,46.362407,2.7000,0.778571
1180,66.118450,3.2000,0.852024
1190,95.903196,3.6000,0.902381
1200,73.690306,3.6000,0.906548
1210,40.901988,3.5000,0.799048
1220,51.059070,2.8000,0.821429
1230,37.200378,3.0000,0.762500
1240,48.871317,3.7000,0.762500
1250,24.551409,3.1000,0.725000
1260,58.604105,2.5000,0.784762
1270,13.713800,3.1000,0.735714
1280,22.980202,3.6000,0.736429
1290,45.868220,4.5000,0.848214
1300,58.487041,2.4000,0.731429
