2026-03-11 14:30:47,749 | INFO | Episode 160/8000 | Avg Reward: -31.97 | Avg Length: 692.00 | Avg Loss: 6.7213 | Avg Found Sources: 1.30 | Avg Found Ratio: 28.64% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 14:33:05,520 | INFO | Episode 170/8000 | Avg Reward: 15.63 | Avg Length: 617.70 | Avg Loss: 97.8371 | Avg Found Sources: 1.10 | Avg Found Ratio: 43.33% | Success Rate: 20.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.12, failure_done=-0.01
2026-03-11 14:35:13,768 | INFO | Episode 180/8000 | Avg Reward: 5.93 | Avg Length: 585.70 | Avg Loss: 147.9860 | Avg Found Sources: 1.20 | Avg Found Ratio: 43.69% | Success Rate: 20.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.18, failure_done=-0.01
2026-03-11 14:37:36,002 | INFO | Episode 190/8000 | Avg Reward: -12.11 | Avg Length: 658.10 | Avg Loss: 35.4211 | Avg Found Sources: 1.60 | Avg Found Ratio: 33.33% | Success Rate: 10.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.01, found=0.02, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-11 14:39:58,211 | INFO | Episode 200/8000 | Avg Reward: -21.10 | Avg Length: 635.80 | Avg Loss: 90.0983 | Avg Found Sources: 1.70 | Avg Found Ratio: 35.67% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.09, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.09, failure_done=-0.01
2026-03-11 14:42:19,209 | INFO | Episode 210/8000 | Avg Reward: -29.42 | Avg Length: 624.00 | Avg Loss: 796.2307 | Avg Found Sources: 1.70 | Avg Found Ratio: 34.23% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=1.00, failure_done=-0.01
2026-03-11 14:44:26,653 | INFO | Episode 220/8000 | Avg Reward: -7.59 | Avg Length: 585.60 | Avg Loss: 821.5266 | Avg Found Sources: 1.20 | Avg Found Ratio: 35.58% | Success Rate: 20.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.79, failure_done=-0.01
2026-03-11 14:46:38,618 | INFO | Episode 230/8000 | Avg Reward: 26.67 | Avg Length: 599.90 | Avg Loss: 187.5979 | Avg Found Sources: 2.10 | Avg Found Ratio: 48.51% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.20, failure_done=-0.01
2026-03-11 14:49:07,247 | INFO | Episode 240/8000 | Avg Reward: 24.06 | Avg Length: 682.70 | Avg Loss: 18.2106 | Avg Found Sources: 2.80 | Avg Found Ratio: 54.18% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-11 14:51:32,194 | INFO | Episode 250/8000 | Avg Reward: 21.49 | Avg Length: 681.30 | Avg Loss: 19.4628 | Avg Found Sources: 1.70 | Avg Found Ratio: 35.96% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-11 14:53:47,982 | INFO | Episode 260/8000 | Avg Reward: 13.37 | Avg Length: 629.60 | Avg Loss: 173.9202 | Avg Found Sources: 2.80 | Avg Found Ratio: 45.06% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.17, failure_done=-0.01
2026-03-11 14:56:19,893 | INFO | Episode 270/8000 | Avg Reward: -13.62 | Avg Length: 692.00 | Avg Loss: 7.6340 | Avg Found Sources: 1.80 | Avg Found Ratio: 33.55% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 14:58:36,165 | INFO | Episode 280/8000 | Avg Reward: 23.28 | Avg Length: 626.70 | Avg Loss: 304.8326 | Avg Found Sources: 1.80 | Avg Found Ratio: 34.92% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.31, failure_done=-0.01
2026-03-11 15:01:08,792 | INFO | Episode 290/8000 | Avg Reward: -16.69 | Avg Length: 691.20 | Avg Loss: 4.5899 | Avg Found Sources: 2.30 | Avg Found Ratio: 47.50% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 15:03:34,609 | INFO | Episode 300/8000 | Avg Reward: -1.66 | Avg Length: 691.30 | Avg Loss: 2.3199 | Avg Found Sources: 2.50 | Avg Found Ratio: 47.88% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.02, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 15:05:58,049 | INFO | Episode 310/8000 | Avg Reward: -51.30 | Avg Length: 634.00 | Avg Loss: 105.1476 | Avg Found Sources: 1.80 | Avg Found Ratio: 40.42% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.14, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.11, failure_done=-0.01
2026-03-11 15:08:31,944 | INFO | Episode 320/8000 | Avg Reward: 10.49 | Avg Length: 692.00 | Avg Loss: 6.6261 | Avg Found Sources: 2.10 | Avg Found Ratio: 40.25% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.06, found=0.02, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 15:10:47,073 | INFO | Episode 330/8000 | Avg Reward: 2.35 | Avg Length: 628.60 | Avg Loss: 200.2840 | Avg Found Sources: 1.20 | Avg Found Ratio: 35.71% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.21, failure_done=-0.01
2026-03-11 15:13:17,549 | INFO | Episode 340/8000 | Avg Reward: 13.60 | Avg Length: 692.00 | Avg Loss: 4.7182 | Avg Found Sources: 1.40 | Avg Found Ratio: 21.43% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.06, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 15:15:43,109 | INFO | Episode 350/8000 | Avg Reward: -52.95 | Avg Length: 692.00 | Avg Loss: 8.9836 | Avg Found Sources: 0.90 | Avg Found Ratio: 15.79% | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 15:17:58,215 | INFO | Episode 360/8000 | Avg Reward: -33.12 | Avg Length: 636.90 | Avg Loss: 89.1691 | Avg Found Sources: 0.70 | Avg Found Ratio: 22.50% | Success Rate: 10.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.09, failure_done=-0.01
2026-03-11 15:20:27,442 | INFO | Episode 370/8000 | Avg Reward: -7.74 | Avg Length: 692.00 | Avg Loss: 2.6746 | Avg Found Sources: 1.80 | Avg Found Ratio: 34.23% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 15:22:41,127 | INFO | Episode 380/8000 | Avg Reward: 1.88 | Avg Length: 611.40 | Avg Loss: 511.3416 | Avg Found Sources: 2.20 | Avg Found Ratio: 51.67% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.47, failure_done=-0.01
