episode,avg_reward
10,24.880619
20,2.043232
30,22.863573
40,23.988753
50,18.954428
60,22.059449
70,19.191390
80,21.331498
90,21.348266
100,-16.107205
110,22.897295
120,21.873011
130,-17.452956
140,-42.738852
150,-21.014637
160,-21.935024
170,24.637055
180,1.572378
190,28.105757
200,24.234669
210,26.047022
220,36.158221
230,27.353613
240,26.410791
250,-27.964432
260,-14.136537
270,27.773530
280,26.140713
290,26.106407
300,31.574857
310,-21.938845
320,29.983163
330,29.619143
340,-58.847324
350,36.110487
360,-18.091281
370,28.835591
380,-4.879134
390,25.990486
400,36.497836
410,-5.190544
420,31.316298
430,-67.721137
440,-15.029212
450,29.373429
460,26.215514
470,20.751280
480,-15.407575
490,27.344770
500,-93.711552
510,27.940964
520,32.972223
530,24.309414
540,-62.913613
550,20.540284
560,-16.755720
570,22.897551
580,5.861556
590,35.535134
600,-14.701555
610,-27.542685
620,-35.708492
630,34.277954
640,25.193029
650,33.543912
660,27.634921
670,-18.753685
680,25.812174
690,-36.348061
700,-11.805946
710,-18.749042
720,22.369289
730,28.372076
740,30.642766
750,35.338316
760,-21.513510
770,-18.242212
780,27.635701
790,25.150419
800,30.956472
810,25.683482
820,27.293555
830,-20.211659
840,23.752037
850,32.484652
860,24.554615
870,36.854753
880,33.305916
890,-5.993548
900,29.413309
910,-59.838355
920,27.476230
930,29.940169
940,-18.554555
950,22.136628
960,-19.451611
970,-13.393052
980,-24.490975
990,-19.763629
1000,22.642660
1010,34.398591
1020,-16.669448
1030,-9.230317
1040,30.161596
1050,-24.740658
1060,-17.993907
1070,-14.986304
1080,22.420376
1090,23.621715
1100,40.199303
1110,-20.980070
1120,26.470823
1130,31.187119
1140,28.909644
1150,28.886317
1160,30.283006
1170,-5.146482
1180,28.051041
1190,23.019797
1200,24.145857
1210,-13.436128
1220,31.678566
1230,35.846023
1240,27.909237
1250,24.851901
1260,-6.594502
1270,26.963841
1280,28.993230
1290,28.645474
1300,33.474648
1310,28.091674
1320,25.044042
1330,21.804789
1340,25.527643
1350,33.063513
1360,33.364845
1370,-25.955872
1380,-15.928308
1390,22.586004
1400,-19.460642
1410,41.383075
1420,31.546546
1430,-23.653518
1440,32.455158
1450,-13.388793
1460,-22.960272
1470,20.976366
1480,-9.273532
1490,-13.448386
1500,-135.688351
1510,26.455288
1520,25.966073
1530,-5.680521
1540,22.752975
1550,-21.287252
1560,38.703069
1570,23.533426
1580,-14.340154
1590,29.453937
1600,35.560095
1610,-24.086516
1620,33.156329
1630,-20.632988
1640,24.010715
1650,31.786007
1660,22.882951
1670,-10.688030
1680,-68.273698
1690,-12.878982
1700,25.223962
1710,31.008669
1720,-17.561703
1730,36.404637
1740,27.739889
1750,-28.487013
1760,-24.220411
1770,39.653774
1780,25.852045
1790,-56.210040
1800,-17.172808
1810,27.335041
1820,24.395590
1830,-21.222759
1840,-23.540610
1850,24.702280
1860,-65.422574
1870,-15.152807
1880,33.016599
1890,22.680585
1900,-18.584833
1910,24.195602
1920,32.736497
1930,-20.792676
1940,28.216407
1950,34.854777
