episode,avg_reward
10,16.641839
20,-20.391376
30,0.767006
40,-1.862997
50,-69.376666
60,15.466216
70,11.121615
80,16.225376
90,-36.533400
100,14.584645
110,-45.747306
120,12.063008
130,11.186087
140,13.429413
150,-1.823651
160,10.495829
170,14.257372
180,9.712652
190,7.665696
200,12.419843
210,12.499633
220,-14.678022
230,11.586901
240,2.913251
250,3.473084
260,18.853108
270,15.673181
280,-26.005887
290,19.525979
300,12.981511
310,-1.327140
320,-14.625660
330,-55.179259
340,5.522973
350,-12.423768
360,-57.082230
370,-1.613855
380,15.695634
390,2.041118
400,15.791398
410,4.796324
420,-7.213464
430,-23.654585
440,16.864223
450,15.342749
460,18.749609
470,17.600988
480,15.634050
490,12.111097
500,9.815323
510,-22.727800
520,20.628975
530,21.965265
540,17.539440
550,6.667937
560,12.759268
570,17.324160
580,21.050498
590,18.925817
600,17.245392
610,-7.842053
620,-11.196909
630,2.207841
640,-8.347747
650,15.544393
660,20.264293
670,-0.179018
680,16.577026
690,2.158862
700,8.573038
710,14.810624
720,14.508855
730,9.519425
740,20.833200
750,15.507028
760,-0.612764
770,-16.998662
780,-16.961170
790,-1.765042
800,-13.338461
810,19.057919
820,16.982745
830,4.977987
840,12.730591
850,7.737545
860,-17.603870
870,18.406812
880,14.068006
890,11.965130
900,18.010321
910,13.131261
920,16.244781
930,7.900076
940,15.935106
950,3.795086
960,17.406520
970,4.725485
980,10.118934
990,12.006192
1000,12.562787
1010,16.780158
1020,10.169570
1030,19.205139
1040,12.475580
1050,9.433715
1060,-16.429114
1070,-2.688296
1080,8.788202
1090,-17.041578
1100,13.152052
1110,0.822268
1120,2.917425
1130,-4.980693
1140,6.309200
1150,19.248636
1160,-34.074339
1170,12.021416
1180,15.288075
1190,3.853328
1200,19.605173
1210,14.733224
1220,18.813268
1230,11.712216
1240,22.111611
1250,12.404669
1260,8.438285
1270,-19.089840
1280,11.627302
1290,20.717110
1300,-10.072460
1310,3.661789
1320,-42.280887
1330,19.207899
1340,5.568788
1350,18.574976
1360,11.090748
1370,20.761560
1380,7.216738
1390,14.893271
1400,13.322763
1410,13.593030
1420,13.794091
1430,-24.854556
1440,11.230651
1450,-18.042049
1460,20.173527
1470,14.083781
1480,16.578237
1490,22.368447
1500,-23.210953
1510,19.930619
1520,16.931839
1530,6.750564
1540,13.268341
1550,19.153832
1560,12.316514
1570,-18.942379
1580,21.659960
1590,14.287275
1600,14.212924
1610,10.727533
1620,10.435833
1630,3.708335
1640,-18.044590
1650,-12.139172
1660,13.131214
1670,5.920341
1680,8.405486
1690,6.422490
1700,16.736054
1710,13.175007
1720,20.049975
1730,5.444475
1740,12.479465
1750,6.947670
1760,-22.551990
1770,17.184715
1780,10.817299
1790,17.636689
1800,2.711830
1810,12.761958
1820,10.737297
1830,15.708963
1840,18.724013
1850,14.496202
1860,-10.723054
1870,8.574969
1880,10.610111
1890,14.179467
1900,12.908039
1910,8.007752
1920,17.284339
1930,-25.860332
1940,11.961144
1950,8.860960
1960,17.573666
1970,2.990504
1980,4.055825
1990,-3.046708
2000,16.088506
2010,11.807759
2020,17.862298
2030,1.907607
2040,9.242474
2050,16.252466
2060,9.463155
2070,-13.802732
2080,5.563801
2090,8.687156
2100,-15.998623
2110,-8.381335
2120,-33.987512
2130,-25.591985
2140,16.540974
2150,-2.244600
2160,13.557077
2170,16.802957
2180,10.700628
2190,12.389820
2200,18.117133
2210,16.153076
2220,12.164309
2230,18.986880
2240,-57.798827
2250,11.828294
2260,4.226308
2270,11.366735
2280,16.858790
2290,23.745817
2300,-7.552380
2310,17.136616
2320,7.602330
2330,17.103754
2340,21.397464
2350,12.516899
2360,-18.995045
2370,12.613518
2380,11.531806
2390,22.830293
2400,18.324602
2410,10.520657
2420,10.594615
2430,12.292588
2440,-9.938945
2450,-60.555494
2460,10.550921
2470,9.870687
2480,10.446420
2490,13.376208
2500,16.497896
2510,8.308644
2520,1.959150
2530,10.331317
2540,17.824711
2550,-15.417201
2560,3.377227
2570,10.022391
2580,20.798164
2590,20.126755
2600,18.039768
2610,18.278182
2620,-9.154217
2630,17.649790
2640,16.511306
2650,0.254229
2660,14.714276
2670,22.861824
2680,-36.732203
2690,11.631069
2700,5.935319
2710,21.318128
2720,22.507667
2730,1.663104
2740,14.102769
2750,11.778452
2760,17.014863
2770,21.250765
2780,13.631869
2790,15.482186
2800,-24.715178
2810,-13.636251
2820,12.756472
2830,18.264717
2840,5.601194
2850,22.991438
2860,8.810959
2870,12.694874
2880,14.216706
2890,18.968203
2900,18.626326
2910,8.046060
2920,25.984569
2930,10.507018
2940,-9.264006
2950,5.089128
2960,17.812053
2970,10.859509
2980,3.275058
2990,19.911362
3000,14.282551
3010,20.287049
3020,9.237416
3030,12.431318
3040,8.804706
3050,14.945395
3060,17.026125
3070,9.747100
3080,9.605289
3090,-28.779662
3100,6.025259
3110,9.012593
3120,-10.786522
3130,10.137963
3140,-2.385988
3150,14.788008
3160,-1.392126
3170,13.077736
3180,12.618470
3190,13.298172
3200,20.588882
3210,1.234658
3220,13.853979
3230,19.058716
3240,12.634602
3250,16.454740
3260,15.185999
3270,19.441070
3280,-0.585828
3290,18.701426
3300,-37.015044
3310,-25.968442
3320,17.785858
3330,9.016195
3340,4.872625
3350,12.298573
3360,19.985156
3370,13.459138
3380,22.583059
3390,18.492242
3400,-6.381328
3410,-40.506377
3420,-24.464446
3430,14.804107
3440,5.893471
3450,8.431532
3460,18.502936
