episode,avg_reward,avg_found_sources,avg_found_ratio
1600,64.670652,3.7000,0.871429
1610,91.490915,3.1000,0.916667
1620,15.279764,3.9000,0.851667
1630,53.857068,4.7000,0.821429
1640,75.351957,3.4000,0.842143
1650,76.472119,4.5000,0.884167
1660,29.584898,3.9000,0.788095
1670,70.509378,4.0000,0.815833
1680,-5.067096,2.3000,0.741667
1690,30.517109,3.6000,0.736190
1700,32.534423,3.5000,0.759167
1710,48.943465,3.1000,0.727143
1720,1.361651,3.5000,0.646667
1730,-16.373219,3.3000,0.638690
1740,47.509992,2.8000,0.741667
1750,20.166288,3.9000,0.735714
1760,70.620083,3.5000,0.816548
1770,23.667935,3.2000,0.707143
1780,37.021494,3.9000,0.830833
1790,-20.304357,3.2000,0.742500
1800,-16.525169,3.0000,0.631071
1810,34.320180,4.0000,0.813095
1820,-17.081957,3.1000,0.676429
1830,29.902553,2.7000,0.758333
1840,12.687433,2.7000,0.611667
1850,24.035805,1.9000,0.620833
1860,14.536544,2.9000,0.581190
1870,37.090313,2.5000,0.625714
1880,-36.820598,2.7000,0.438690
1890,18.703363,2.8000,0.758095
1900,-0.790714,1.4000,0.377381
1910,-20.184846,1.8000,0.313571
1920,-8.481833,1.6000,0.321786
1930,10.099005,1.6000,0.362500
1940,0.237601,1.5000,0.393571
1950,-0.026355,1.6000,0.367619
1960,-6.259408,2.6000,0.382857
1970,-29.993039,1.8000,0.341667
1980,18.788748,1.5000,0.469524
1990,-24.126189,1.6000,0.322024
2000,22.930358,1.4000,0.381905
2010,-40.122970,2.0000,0.434524
2020,-27.556830,1.4000,0.350000
2030,-35.651655,1.0000,0.172024
2040,9.194345,2.2000,0.467738
2050,-0.077525,1.8000,0.325000
2060,-25.257113,1.4000,0.260119
2070,-5.353673,2.0000,0.354286
2080,-7.091777,1.6000,0.407143
2090,28.535411,1.6000,0.418452
2100,-4.521545,2.0000,0.397619
2110,-11.451788,1.9000,0.447024
2120,33.125183,1.8000,0.676905
2130,-26.810261,2.9000,0.511905
2140,15.545209,1.6000,0.416667
2150,51.626950,1.8000,0.563333
2160,46.393395,2.0000,0.593333
2170,21.284334,3.0000,0.644167
2180,-16.565213,2.8000,0.493452
2190,10.318246,1.5000,0.322500
2200,-55.332703,1.7000,0.453333
2210,-12.355776,2.5000,0.545833
2220,18.254520,2.1000,0.654524
2230,-5.932405,2.8000,0.506667
10,1.085529,1.1000,0.307619
20,-7.698631,1.2000,0.304762
30,0.273401,1.2000,0.272619
40,-17.382087,2.1000,0.353333
50,-4.823414,1.0000,0.214286
60,-27.082771,2.1000,0.388452
70,0.276251,1.9000,0.449762
80,22.573759,2.7000,0.608929
90,32.581342,2.2000,0.582143
100,8.795312,3.2000,0.685833
110,-30.411827,3.1000,0.596429
120,-12.206909,3.8000,0.675000
130,17.818637,2.3000,0.690000
140,31.110411,4.1000,0.832381
150,34.884310,3.8000,0.727381
160,18.549975,2.8000,0.635000
170,10.404479,2.3000,0.504167
180,2.413944,3.6000,0.625357
190,-8.633823,2.1000,0.476667
200,-1.212687,1.4000,0.400000
210,16.312786,4.1000,0.771667
220,34.029216,3.4000,0.710595
230,4.556017,3.4000,0.699048
240,34.296023,3.8000,0.774762
250,57.521539,3.4000,0.840000
260,41.392208,3.5000,0.769167
270,18.536969,3.9000,0.712619
280,32.568157,4.2000,0.736905
290,19.859609,3.9000,0.769167
300,14.762064,1.9000,0.549167
310,-34.120546,1.8000,0.410714
320,10.997015,2.8000,0.637500
330,20.188115,3.2000,0.647500
340,3.272197,4.1000,0.693333
350,61.051364,3.7000,0.784524
360,-17.683447,1.8000,0.508333
370,61.092441,4.6000,0.888095
380,15.715666,3.3000,0.708333
390,15.986900,3.7000,0.710714
400,-27.165721,2.9000,0.495357
410,1.556428,2.8000,0.609524
420,-8.329643,2.8000,0.591071
430,17.966990,2.6000,0.635833
440,15.323225,4.4000,0.771905
450,16.646120,2.8000,0.676786
460,22.505050,2.2000,0.760000
470,-23.250819,1.8000,0.430000
480,38.319761,2.9000,0.634524
490,22.397035,2.6000,0.545000
500,18.557760,4.3000,0.785714
510,42.188680,3.6000,0.932381
520,45.595304,3.3000,0.838333
530,42.907313,4.1000,0.830000
540,37.942476,3.8000,0.719048
550,59.347937,2.7000,0.785000
560,20.751283,3.1000,0.840000
570,42.955434,3.7000,0.722024
580,64.806801,4.1000,0.839881
590,22.147366,3.7000,0.781429
600,67.271229,2.9000,0.758333
610,22.563742,1.9000,0.548333
620,-26.636930,2.6000,0.425000
630,53.749707,3.2000,0.817500
640,27.814071,3.3000,0.746667
650,44.865148,3.2000,0.832381
660,38.528285,3.1000,0.750000
670,65.544304,3.9000,0.829167
680,31.591654,4.0000,0.788810
690,53.085313,4.1000,0.782738
700,100.106200,5.5000,0.987500
710,52.417347,4.2000,0.899048
720,24.221299,4.1000,0.795476
730,15.136756,2.0000,0.545476
740,28.582775,3.0000,0.729167
750,19.204045,3.3000,0.643333
760,-9.249062,2.0000,0.480357
770,29.755352,2.8000,0.683333
780,-35.045690,2.9000,0.535000
790,-14.747839,2.0000,0.405000
800,37.367891,3.0000,0.672500
810,64.447299,3.2000,0.861310
820,-17.288382,3.5000,0.714167
830,4.302287,2.3000,0.580000
840,-17.077113,3.3000,0.687500
850,53.924733,3.6000,0.866548
860,-1.030602,4.1000,0.737143
870,53.542143,2.7000,0.810000
880,27.707151,2.9000,0.670238
890,54.151138,2.5000,0.765476
900,27.346631,3.0000,0.642500
910,35.337884,3.2000,0.854167
920,-14.787635,1.8000,0.579762
930,39.144790,3.2000,0.684167
940,29.449516,4.4000,0.794524
950,5.145762,2.4000,0.729167
960,-17.940668,3.0000,0.601429
970,12.390848,4.4000,0.739048
980,-3.144218,4.7000,0.883929
990,80.507411,5.0000,0.921429
1000,19.437931,3.4000,0.768333
1010,6.768675,3.5000,0.789762
1020,-29.379036,4.1000,0.690476
1030,65.916399,5.5000,0.921667
1040,37.985906,3.5000,0.854167
1050,96.837476,4.3000,1.000000
1060,28.474932,3.9000,0.852381
1070,41.305743,3.4000,0.788095
1080,109.011957,2.7000,0.975000
1090,-13.967691,3.2000,0.613333
1100,40.990778,5.8000,0.939881
1110,51.528590,3.4000,0.842500
1120,65.015999,2.9000,0.855000
1130,5.320275,3.6000,0.765714
