episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
44,48.098419,1000,0.485754,2,5,0.400000,0,1,-0.000293,-0.000500,0.041534,-0.000317,0.000000,0.010000,-0.002325,0.000000
45,-4.263406,1000,0.768852,2,3,0.666667,0,1,-0.000293,-0.013750,0.001475,-0.000607,0.000000,0.010000,-0.001087,0.000000
46,20.124638,1000,1.897843,6,8,0.750000,0,1,-0.000294,-0.014250,0.004932,0.001424,0.000000,0.030000,-0.001688,0.000000
47,20.293207,1000,0.876519,4,7,0.571429,0,1,-0.000293,0.000000,0.000826,0.000285,0.000000,0.020000,-0.000525,0.000000
48,-344.898122,1000,6.943610,0,3,0.000000,0,0,-0.000293,-0.345000,0.001718,-0.001323,0.000000,0.000000,0.000000,0.000000
49,12.776353,1000,0.583558,2,7,0.285714,0,1,-0.000295,-0.003750,0.008143,-0.000872,0.000000,0.010000,-0.000450,0.000000
50,126.161062,320,91.121350,1,1,1.000000,1,1,-0.000294,-0.004687,0.008517,0.000093,0.000000,0.015625,0.000000,0.375000
51,17.963175,1000,0.829316,1,3,0.333333,0,1,-0.000294,0.000000,0.014405,-0.001111,0.000000,0.005000,-0.000037,0.000000
52,34.740578,1000,1.811787,2,6,0.333333,0,1,-0.000293,-0.041250,0.071388,0.000258,0.000000,0.010000,-0.005362,0.000000
53,-4.136076,1000,0.965920,2,8,0.250000,0,1,-0.000292,-0.016750,0.010927,-0.000634,0.000000,0.010000,-0.007387,0.000000
54,52.176713,1000,0.608539,3,4,0.750000,0,1,-0.000291,0.000000,0.037498,0.000570,0.000000,0.015000,-0.000600,0.000000
55,-23.378831,1000,0.421109,0,2,0.000000,0,0,-0.000292,-0.026250,0.003425,-0.000262,0.000000,0.000000,0.000000,0.000000
56,2.861680,1000,0.134928,0,1,0.000000,0,0,-0.000291,0.000000,0.003318,-0.000165,0.000000,0.000000,0.000000,0.000000
57,12.899805,1000,0.492119,1,8,0.125000,0,1,-0.000292,-0.041000,0.049022,0.000244,0.000000,0.005000,-0.000075,0.000000
58,3.782248,1000,0.396596,1,6,0.166667,0,1,-0.000292,-0.006750,0.014644,-0.000682,0.000000,0.005000,-0.008137,0.000000
59,-9.654484,1000,0.158978,0,3,0.000000,0,0,-0.000291,-0.008250,0.000299,-0.001412,0.000000,0.000000,0.000000,0.000000
60,-1.285809,1000,0.582587,2,4,0.500000,0,1,-0.000291,-0.003000,0.006625,-0.000106,0.000000,0.010000,-0.014512,0.000000
61,3.675386,1000,0.350305,1,6,0.166667,0,1,-0.000292,-0.002500,0.001428,0.000076,0.000000,0.005000,-0.000037,0.000000
62,25.821622,1000,0.374423,1,6,0.166667,0,1,-0.000293,-0.004500,0.028529,-0.000065,0.000000,0.005000,-0.002850,0.000000
63,125.326139,11,2529.217407,1,1,1.000000,1,1,-0.000311,0.000000,0.010393,0.019567,0.000000,0.454545,0.000000,10.909091
64,-3.638829,1000,1.150581,1,2,0.500000,0,1,-0.000293,-0.006500,0.000009,-0.001781,0.000000,0.005000,-0.000075,0.000000
65,-10.985771,1000,1.027353,1,2,0.500000,0,1,-0.000295,-0.015000,0.000916,-0.001457,0.000000,0.005000,-0.000150,0.000000
66,7.091665,1000,0.899095,1,2,0.500000,0,1,-0.000294,-0.007500,0.019440,-0.001041,0.000000,0.005000,-0.008512,0.000000
67,-22.403161,1000,0.314831,0,1,0.000000,0,0,-0.000295,-0.021250,0.000099,-0.000957,0.000000,0.000000,0.000000,0.000000
68,49.741649,1000,0.673502,2,4,0.500000,0,1,-0.000294,0.000000,0.040063,0.000159,0.000000,0.010000,-0.000188,0.000000
69,125.116632,4,5162.570038,1,1,1.000000,1,1,-0.000321,0.000000,0.010856,0.018623,0.000000,1.250000,0.000000,30.000000
70,-14.079067,1000,0.743807,1,2,0.500000,0,1,-0.000294,-0.012500,0.002102,-0.000999,0.000000,0.005000,-0.007387,0.000000
71,-88.585295,1000,2.220064,3,4,0.750000,0,1,-0.000294,-0.101500,0.011793,0.000141,0.000000,0.015000,-0.013725,0.000000
72,22.511054,1000,0.709933,3,4,0.750000,0,1,-0.000294,0.000000,0.008237,-0.000094,0.000000,0.015000,-0.000337,0.000000
73,11.007757,1000,0.501269,1,4,0.250000,0,1,-0.000293,-0.003500,0.010200,-0.000250,0.000000,0.005000,-0.000150,0.000000
74,-1.365683,1000,0.872523,3,4,0.750000,0,1,-0.000296,-0.010750,0.009118,0.000975,0.000000,0.015000,-0.015412,0.000000
75,141.279510,54,547.001093,4,4,1.000000,1,1,-0.000297,0.000000,0.018690,0.012246,0.000000,0.370370,-0.006944,2.222222
76,15.432791,1000,0.746398,1,8,0.125000,0,1,-0.000293,0.000000,0.011387,-0.000586,0.000000,0.005000,-0.000075,0.000000
77,-68.014000,1000,1.865260,2,6,0.333333,0,1,-0.000292,-0.130250,0.052390,0.000251,0.000000,0.010000,-0.000112,0.000000
78,-24.517228,1000,0.550576,0,3,0.000000,0,0,-0.000293,-0.037000,0.014048,-0.001272,0.000000,0.000000,0.000000,0.000000
79,-8.853590,1000,0.514092,1,2,0.500000,0,1,-0.000296,-0.010500,0.009930,-0.001250,0.000000,0.005000,-0.011737,0.000000
80,14.989314,1000,1.944526,7,8,0.875000,0,1,-0.000296,-0.083250,0.064121,0.000839,0.000000,0.035000,-0.001425,0.000000
81,21.430721,1000,0.613580,3,4,0.750000,0,1,-0.000292,0.000000,0.006313,0.000560,0.000000,0.015000,-0.000150,0.000000
82,0.494312,1000,0.651368,1,6,0.166667,0,1,-0.000291,-0.008000,0.004191,-0.000330,0.000000,0.005000,-0.000075,0.000000
83,57.213751,1000,0.988990,5,7,0.714286,0,1,-0.000294,0.000000,0.037213,0.000807,0.000000,0.025000,-0.005512,0.000000
84,79.283791,1000,2.031606,7,8,0.875000,0,1,-0.000296,-0.023000,0.073746,0.002121,0.000000,0.035000,-0.008287,0.000000
85,61.455719,1000,1.639595,5,6,0.833333,0,1,-0.000294,0.000000,0.043680,0.000420,0.000000,0.025000,-0.007350,0.000000
86,50.998406,1000,0.943325,4,7,0.571429,0,1,-0.000293,-0.001000,0.035572,0.000657,0.000000,0.020000,-0.003938,0.000000
